,N-methylpyrrole,246-Trimethylpyridine,Nile red,Methylcyclopentane,Cyclopentane,Pyridine,1234-tetrafluorobenzene,Asn,Arg,Ala,Glu,Leu,Phe,Cys,Ser,Ile,Gln,Met,Trp,Asp,Val,Gly,Pro,Tyr,Lys,His,Thr,Benzene,Benzenesulfonic acid,Pyrene,Phenanthrene,P2,ZnPh,P1,Purine,Thymine,2-methoxynaphthalene,Adenine,Hypoxanthine,Cytosine,22-bipyridyl,Guanine,213-Benzothiadiazole,Pyrimidine,1-methoxy-3-methylbenzene,Biphenyl,Xanthine,26-Diaminopurine,1-Chloro-3-methoxybenzene,Trimethyloctadecylammonium bromide,Sodium n-decyl sulfate,Decyltrimethylammonium bromide,Sodium n-octadecyl sulfate,Dodecylamine,Tridecanoic acid,Dodecanoic acid,Dodecyltrimethylammonium bromide,16-diphenyl-135-hexatriene
29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,0,0,0,0,2113,0,0,0
31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,0,0,0,0,0,0,0,0
34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,0
36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0
37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,0,0,0
38.0,0,0,0,0,951,0,0,0,0,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081,0,0,0,0,0,0,0,1294,0,0,0
41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358,0,1364,0,0,0,0,0,0,1676,1166,0,1239,0,0,0,0,0,1145,0,1361,0,0,0,0,1514,0,0,0,1965,0,0,1158,0,1094,0,0,1612,0,0,0,0,0,0,0
42.0,1092,0,1276,1917,2660,2214,3110,2646,1981,2229,1642,2795,8299,0,1488,2688,3910,2685,3376,4925,2457,2084,4558,3350,1206,1959,2178,1141,0,0,0,2840,2589,3422,0,2381,3337,2611,2385,3438,2248,0,6349,0,2916,1756,0,1432,3046,1330,0,0,0,0,1421,1147,0,0
43.0,0,0,955,4193,1691,798,1642,3169,4022,1750,2721,4163,6662,2222,0,5516,4554,3809,4157,5011,2127,2167,4411,4194,2479,4695,2710,1106,1812,1333,0,4657,3169,5651,2232,0,4123,1760,5579,2462,5640,0,8611,0,1187,4603,1748,3090,1410,2429,5443,0,1010,0,4591,1532,1106,0
44.0,0,0,0,1230,1710,0,1199,1721,1582,46089,0,0,2145,0,0,2064,1836,2335,0,2411,0,0,1207,0,0,0,0,1698,0,0,0,0,0,0,1063,1338,2139,1582,0,1450,1594,0,4311,0,1938,1254,0,1721,2082,0,0,0,0,0,1785,0,947,0
45.0,0,0,1085,2425,4943,1185,1315,3155,1840,2559,1712,0,3274,0,0,2956,2870,2340,2553,2618,1133,865,1824,2555,2145,2218,1212,6615,959,0,0,1252,1415,1792,0,1445,1120,1821,1780,2924,1841,0,2175,2141,1750,1386,1150,1031,2113,1488,3283,0,0,0,1862,1798,0,0
