,ArgProSer,CT,1c3moxybenz+benzsulfa+dodecymebr,AlaArgGluGly,ACGT,AC,AG,ProSerThr,benzsulfa+16diph135hex+nmpyrr+pyrene,benzene+dodecymebr,AlaArg,1-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,3-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,1-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,3-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth
29.0,0,0,0,0,0,0,0,0,0,0,0,0,1243,0,0,0,0
30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,0,0,0,0,0,1093,0,0,0,0,0,0,0,0,0,0,0
32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,0,0,0,0,0,1244,0,0,0,0,0,0,0,0,0,0,0
35.0,0,0,0,0,0,0,0,0,0,0,0,0,1326,0,0,0,0
36.0,0,0,0,0,0,0,0,0,0,0,0,0,959,0,0,0,0
37.0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0
38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.0,0,1723,0,0,0,0,0,915,0,0,1231,0,0,0,0,0,0
42.0,3970,14975,3192,3117,7959,0,3390,4795,0,1377,5047,2575,0,0,0,2179,1784
43.0,3670,10470,2637,1589,4030,1596,3069,3788,1418,3887,4985,1450,0,1282,1544,3298,1783
44.0,1168,6676,1790,175246,3759,2009,0,0,0,1593,101767,944,0,0,0,1122,0
